,name,attack,image
12,Eightfold Longblade (Intact),25,https://lh3.googleusercontent.com/docs/ADP-6oG_tQU1JFvQ0rItsKHCOaDC5yWrLGqQ-7iENHf2n_2ObJB0BKIMEiy1UuJ6YFobLSbJa1xjaFf6y-3Dst8zLKtg9hBkxPl279c_93zxrxOX02t6Jm-SBheg2M5X6007CEfL6ifAyN1Ep7XGDKbrkG3vPozGk_tpQJDo2XOpUfNwqfxCR8gxyla0Xhm4q9PZu0IJzLV-b4fiFtLnMt_Fw_BpdyhH93-yqi5KSYNDhJ-GHruQSHgtx6rqA4yNTYxL8WEfxF60uDgOuZtModjSHul2SLY3lmksnptIE3uhx20DbjDnkHoUPZ-R4dmRf_GwiWyNb_GH1G_dAtuQKQ8Zg8liKaA5adSx7fqxH3yCbRgKASbRRXxTsKzAupZZFB0Hww_2Y_QWnZsuYyD99sZggEEDMr3k9p1wuDDmQgKjRQtIWdb4As8_ecqkaduuEVR3iM90Jnhwmm5kGavI4R5nCnPjN3m5gPkrjKfgxnhL3FwUy6a8vb-Ot6kw9eiZpIulFS9EsWn84jBu211Uf7V12iH0MvcrGTQEM-MkZsAv-pTICl8TuQV1imiFMD35uulr13lu2CN6mTnOy2uGFpucLzJy_czR8peEYmwegbkcYJCfMCKL9tXwZ8zox19J0ZmlpbXYLR2Keo2dvSY5GlVslbeWwD1y8n49FHx2zqqq4CMf8IlDei3nMR7VN1WB62jcJLl_YgxMUT1oKH5ygXHTu-oBpFSVUbbHyreaTW3hfLoJuN6MW5OnK-mlpyQBxz04ALhG2Yaidj7GluYNcrpuDViFaxTjLXUfXvtBYSQ-lExv_Eop8D5WmLiAqTwDTmT0Ss8OljhPLhAtEq7Hk1yiMMBzhx7tAgy2hY3bozoqlYSfSRsjsW07etoVXNRDdfbWa9Qq5vc-dZgz_48iHdATbyeJBPK86kEjwxzaZi3L8K39E-LYyFkNx-6U9mqDHqlEDcYnKckNCDCb4YAFPBH0cxYkJtOFPmerz_ems1rgfHmpbwsaK6MJ1QC80j2Q8_bDkYHf3Hhx3VnBDPDuNqKWku74K17_bb2jpt_58eZtsAk01TMFXIfRxX2Y1cCf-1NOI-ybh7w33pct4F1W3mPkJIRmNsdfvRRhWHWxXRSjyh1rAkWfbum4CNsxPE0Sw2Ll101__Pe6B3aeGMjkQNiWdN3kaSq8Ib6Oxh8lF8LZqRZaGxTV1g_0BgnX2tZGoD6GduZTNDCwmP8jRe7V9IibB-2KdcamsN5YMQ=w120-h119
13,Farming Hoe,7,https://lh3.googleusercontent.com/docs/ADP-6oHkbesxpzULvc8ITPORbELhpRYCXtl6mbuFP9J_xGPOA7Zdz2en7Bc01DOyfugmYOXhidb3UzIU-Ucgb8dfGtFRmmvc1F3eMNiINZIB3T_XE8n8nSqa1U4K0H5OrE5_am380w_MkFdHBZtO_z74Vvj5VypL9hI_MxA5T5Q4ktIE7JuoBnOpqZZx2TfI8uyc9xJD2gEi8BgzatWxhNlWEfquITpP_-WB8zJbEEozWqR7Fq4T9a1jm0dZU6tyxuLgbwG1oSoFbiqQaPW5uBuuESjqdhX-wBYz_w3gGILzAC-aZKr9bE7C8bypqlH50qQQPd_L7-Y9ydAuybUV38ylnjKnfhXEVHKEi1mHS0ZF1ipklqljhcq2aKGYRaBbhhP_pWH799ej86ovqpnWUzYlNB2ofampIyQQr01VBj22s1XGeQ78qi2NyyNIsqRv_p8TwUZqJeFuYimFfOqHeWCWKTELIpqkGRp6PjCWvtk8BJ5rR19OJBhNUNK2iihcHgGesTLTjuWuo4HkPc_DYaUZUrnAvh4sjDf3NmTgBU_Qs7T8yWybvNOknHj-IDN7WFDSkmdnQxNC5ElvSPJ_2k-mNqQxw4I5opJLb_DPYcybgFg0uWqFJm76oTuCLeXBa1DAzE23nVGGd171PSZpmAqSQPRVx_X1s5cI-urdb3Zeqf7Lt7FFNKnIQjSDaAnBhrP9bDveaVtE9GacigCnN9_nXwv_o0rJ2MZe16Ojg3KEURMjIXjydMPt3uvEsuHMaCqbn20iuHd1xXw_z7Uif6o08Lzh9OMICrKy1B3GD4RJj1l3ZwFFbctgjdfKVqyq9fb7OG-eunOm-znmSZxEMsX94mTE5S2d2JpFpHBhv1yLKQAPEvKCLpmFWq1gsja_JxWEEWWPUUzkCWhkUlMdPN8KKiLg4jH7j4_dMG_ypDfSAEYmpRwvpgarInKwHnWndS5M1NDQSy2AJyR2sfkCIOjntcHLinT6d2_CJ7QUBW2q2W7bp1vORPa64s072Dc67nwymnSFXSxPFNpgdt6SjzpwoE3_bhGJWzET7MhbpI0BjGksC-l3D1mLAMywrZ6q4_1UbfyTe4PddVWMLxlOMzEIuYLiVe6o7R1gWxRPkDZEYx1ZRvoopE5Xpq7kn1fTul7h7WwCTvKB_lK17DOgUC3frVqY2h8JWibH1SPCQ7vC59owMY3KpjqXva5kA-vGVks3LdYItCVKSkleHT5ba_mET3lnlzqm1kFY9Q=w120-h119
14,Royal Guard's Claymore (Intact),42,https://lh3.googleusercontent.com/docs/ADP-6oGJvIl__jVdQN9ZxaHd-VR14Xxm-eTY3cf1lBjXhZgfSKi9cUqqxWU4RSabd7ZvMCeIAYyW8DbO84cNislkNgwHNY-MrVWejRBeYIWSx4O3jrX21nTnmNkFbnPsH6PnXCRNroZaQMoVyq7z56D-0Rg_zWUJvB9R4MVgGb_jPF2-jjS356NwbVkYgX1BfgIqVdko69HaxUiVNCzeKx6bARtJgEAVFpf0AxoN_upgGjmF8IaXC04uCGy4aCn1XLxl_MAIU9UccLjJBJ73MyE1IiNE041-gRVyRvwS_KOYT_p4LK754GWFIJqomPyhp0YIWnvvyKDypyNvbdAeaO932V50sTSHva-GA1KIXFfOmecqa2Lny-3TgThDVtdLlXrZQ-Ubq3cDTaLD-_DxUPTjZ_amJKcSWcgyChjtxG0sLYiY5gdEViqi1xNeGz_-201p3ARGHDoUN_72FsnTl1y6cmb2XDxbENmUEstHzD74lqvjCqjJc6er18aIl3-RCM84sNi6YQYuAPu1pVLL_iAGOfkJk4XXNajqlSryphOYwccdFNWcXN4u9y2DkJzNxd5i0-3M-pj7fH6XYufk77RtGXmA5lY7t31YFYn8D0IkJA0OdFq2YUyDqO5JhYPbOLOlzptYcqYkVz44pITB7DIbAXhs-yobHWDiFU8WyKYAPkvIHNQDMYx_pYzbD-eW-XxcO0jaTwTJgsub3z_qRcyCWICtOEUxEpfWfxT5wUPEdO0mbPMo_8JJCXbKa1VxmryV2ysl1QjfWiHz9qvk30sRlsSEAfYxw6wy6v9cC8AwHMWnN63eACJs_iOy1PNQyBr5SAYVL84AOWYoz9DDS4aFo7E-_bB8vtADRhyM_L4Jhm6QxGg_PAbdEHCEIffdQwDExyH9KyiZC5b0SlX63PLPzv-_pa4V5qbmknAlxFvXFfGyb4C9t0rZ0-b4v8WAA5EFo7J9bOyoPXYXsh-6CUCQsxdz4Y09uQIuSA41Tqm9kjEgJ6_XgeLidX7BdjHw-DlO3L6xEUSW-WORF3WN-N1nqYDflYUx-ENWrxs-bNoaWMimspLECYw9nDh1VYTwfiIvWgmT1HJOjr4NuUX6PHtbI9VihBzfvLXfBrqq-zwzCBCGwiTNmLix7YEf0VVZx_ZcoWticQ_U9lhn8hgVk0SzhVdGt360OTMo7F6qJfsJBicw-IPnbyqObobp_gxv2_V06rY6IgfjGI5tb-QFHFJEiq2VX2BhAHIeIg=w120-h119
15,Giant Boomerang (Intact),25,https://lh3.googleusercontent.com/docs/ADP-6oHOfHRSUimJ2j4ykggHoqH8xgo0xTDLfYqXGTUyQsqhmmOx6mGZS8zUPz8J89AMsVkAhKANzJZN0O0jhZ6Ll7JGBgY0X29w9ibTSqGBuxLMO-1N3SjpaQGTCGmR3EyyOzaprfGJIPb-IC1mYLkvWkG_i2pcUWvHddaVJNzceA8qxeyGfa5Kntc1CxZ8LzHPiwfkDI0suzWlkT1ETCSaKtxgwa4AdYCayQoyssSf5_krTJW9FYLauxZtfH3bKMzmBnZm2lQeNuv0xDVlBk3EQ6B64T4xmSqpqZRBtnWwkIWMq5Zo6TwxR7BdfCel_5LrR039lcXdnjk-IWequfGWWXHUj5QS50bdTOPMLg3Ia9lqxaJ0U5Vb4FwFMt_cR3trFf7rZGUawubA4DVZoUqpBJID26plZFxYG5woCXCrFuc7K84Yq_K6XbE_JfrCb6TZIONq2axsFcIeIY1fN3j_EK2iGggMWEsrRSzkkHyHPk9hlgDONgNq8O6x1UUn657vsCWNwZ9k4igDJi30-kQqJ6UFOVvZkBkeXz03UVvuVwCMDq7Id4yVX4oh5zfHEEVHdFEMBHTxZJv1F4mZU-T3f66yM7opFM6_M7gCnAm-_EDm9eUFN_aY-L4ArU0J8wXRisy3C_6R8aF-9_Ry2-wxoh6VV86xgyjH53Zi7FOH9XTmm9vMi7B_RzJmlsdio0QxIhVpGic3tRHl-b8x0mMLPA876315IEU0XcqWG0ka2wHYoQc24R2iSNiWZr8IKm_9GhJFreuSm2kaDy3-ASFNRFvEq-JpdcTfOA28ZxyWii5yvBSSdwxYkcSKuBVrt7vWt2iWRkqyRFnK2EVKK5WoKo8SxdzY8A0V1HEtAhP42nqH7LOtta7od9KMNqdRxzAN5-2SUD2bdrX8MHWjh4wPnZ95tByCMyi33zmtG_eMSUue476ZfAgWraCnIy9nXYmc0TRBdQbSWqLTzExgV4pNRLiDG-1Cee0FjNqJ0VadgdY9ZM1918gWJntH61JUHJptn31lYaj-vvU5lHV0kSYwosdGiZYZ5oJoUgXPq8XhxcvdM775zmCZOvt4j1n3zYoyCt9wVFpHe4k7CsFahabYR45Nc0XCq_lMWg_L1MBEC5XN_YHltI5nkCCZMYZyo6CgZIVjWBlW7lb_WGuSHdG2xFhLOx0DJkFtkRuigKinWrj9M91TwohYK43OxQ9S8ofWp_Z-C1jaazc93ojkIiNwujlSRy8S6L4bFA=w120-h119
16,Boulder Breaker,40,https://lh3.googleusercontent.com/docs/ADP-6oE9frkaa0iLZKrV5ybuIhFb7yImbZUWARvbrVqlY3qr4R1IQQEdZ-xfozV1hZ18nVynHZHdI9L-F2HAj3tm-ocvfBYVZFRqsvsINxlGACygK7iDJ2GjS9TInefpVg3FEYJhpY86QXKL3wo7NK3IDFxMOJkssKY53YwogE4GFgrrHXfeF4kCqhObtIZYmsflBYkKBXaDqNPPG4eBIjZjXmQHFveRLZCIyTHdxphwfngRfAauQX39D9qC00SvCNTHEfLCOekbQwc4EPr--_Q_rwGDLP5b9WmB8dye0T4n7eJfVZY69ja0vDSoQ4Mnmuo-V15FyTmNscsZYmqx_0SqeFptpN8CFlE1wNq-PQESl6bt13zr4chgygsMvBAZaq5c4KuHD0rwxtTtcuwm7_OeyUj_nUaeYmsMp4mkP0g2VZ5p0GW3AUJ6Mc12HDIJSXsPRBFV9c2wV1ZnMubaW8pQ24AiJsNSg-4cNlveMFmltNLzOOz0whpl9FUMZpRunXM-TA28nG_ymaQWjjMKUC7T2pH29istrvsMrWy4SSJyknjc8WF9HXzAhLQ_wVGMgjs_soGxsMkKUN9bsj33kjVeldZ_JD0h4wnJPw_DIdTRHOvXbb65aJsm09eoDtcGah1bPZwUYe3FEOOJ5suBU6nfvto-mhyPCfUWMDujXsmRFzQpIl-asQMnZu1R3X1Y5GhDCyP8eXvhksDoFNCq5nRL2eBRlvJJGEN2tuL1UH-bsTz7x_JpTFc7UIcLQf3rGKtUiYHmhx3uobssloEuA5P8GZZCmYeNqU7Yr1-9XgncdW2-JLERgaF8Zp7qtdEwkbMVC8wnafwOvQV-IuMVSFgKHAuVf2xkpZSqlXFayAvq-pPUduwCL9r-vmF13MyNjhlk0p-uV8RqzAgqvSE8_c7cFCoOpD_kpQbM8LaWkLanGpVWFM9ojXYsP1bC5N1fUqb4ChOLbSfwGpDuPtSZq2Zp4CEDRO3g6MkkW4R--nO1n9KVB9Kx7phzszEvfLUObYO_eyZHpk_gpSOV0f9qVcENaNOQq0Qa7pN8_lUxeMz_zaWI2kPEqHb1tM4fw7fP5jwUqoDyLQMG0a4WT5I-gmUjU9paRvIeDphqCjHyhrG1OW_ex9FDt4Ch9FDRGggSP7XM_mKazQhLF1e5jWWQ0z30ld0bSKnFlbQRX11H1Et6BwrNIZ26_QcMDC919Y8r8nsbZJvMGLgrS2cShFZ_1WFLLBspECd8s4l1tg=w120-h119
17,Dusk Claymore,34,https://lh3.googleusercontent.com/docs/ADP-6oGsrmzzkaah4bz1qYX42Q9cMyYBtZB8qXibZUBR0xsHzD26g7bHbDl93GsENo8971bRQTJcCu5h8WukxJcPGe1pWJfk8unW3BY1B65h5ZimrE7TOypVrUMqq2EMOl8lOA_7Kbg0y9IKSlbb0g8fpGgzR0mnAbcRtPEYZAl73_avABdFU4Q8RngmbL4whWqyx-F2EEH8-g1HfCeMUxOA4vqVES-B95kgwU3ETbMeq9dCk-a4yTub-lNmKFUDFd14uXd4Hz9VHP4wczIVd0GixqAkWmx5KeMwfGxCFBtd93iOY2DPMCCJVoXR8Zyjx9n-2Ya6XyJZhs6sTUJld882a_6fKcID6PjyjmtiEoJoYVWZOIpGh2hv9U-wKMnZzc74OuANYWbAii0vRo-NgHHD2JzcS6yEjQc9vQac1geMCjeK7eWj5GDNNIW2jyuErTOhjaKUyNGVNqihS4VRuawlGJGoHJ1xNd-40rzVbKlDrBj8qnnfVajwKAR4g3F7bO5RVd1bsZ7qhIdW_Lg6imXfLJZu1pAFr3ilCGaHMom8akk3m7xji1aVCtCeIVdcbhKZj893cPsUIDMjE0dwQKzRXLtifgSqm-3cG8srTNqHQdbL-zjc4zRP54su7T6uiKgUmU-N6TD823haR7R9rxUCNKzjQnEZ9BHIE9OuIz15xiMKGaTErYlQG0VaHGyTPb2oKltXJUPydWiMKSIX6m3slQW2IxwQDHofJ24xZuI49Jq49aczlN8Bd3OMXMGrcP7NpiwS0KQWCIepGcOYcfd9dawOrmGSCy4uxOPP8x-OpZy-iIi3rC9pPdrd7ospZKCCvq4I6-WgfP7Zy4H8zPt5yXcX_gAsciMfDV9aJeQRWYb37NpjV0BCFtUg7GuX1aLyENwuuuSkoTuVRktZ5zNwAFC5_Jqx6aGoAB219FLNzW0Vz6HZ7_otT9CdEfsJicuMY2m9x2NGSNZVa-WOaMfKByZQus4gM9gnRD6T-v9bl3n5jHyIEk0bm_a1x9dIZSJ1v-Ndl_MYkA6kfc5OXOZQiqRxGWa2vpZ6jWt_TKyVJ9ozEv3_f2fvoBpa4OZruCH2jv8ZAUP45Q6mnkIOTp5wPxzxrsGc15TRiKaG0SQQrb-gWRr-wPIQACuRUF5JhAbMQjAgGElSRxw0RQpwoqnGVy4mSAg4apNHZ6uX942hE5blp7DjObFb9OLJSezWTHDqH3jyZjKT6j_2W7XbgvLuiA9tWf5FxyjJFw=w120-h119
18,Biggoron's Sword,38,https://lh3.googleusercontent.com/docs/ADP-6oF6z5pOIbOx8miJGgfDBeXixvsalREeYxO2QkeNPwpxg2NcVjzZUB2C616oQpA49UdJGPvO4Y-avdJFrY0JpRQimBCuzB4AXSGGCJIEix4dVHY_zjAvqlPIybF2JSdpdzPMMFuppJkNjR23e5pA-K033VSEX0xdsq4seyx59atPG44LD5Fc5_W9LuilCDfEbkOvmkd9citXVGgJkxBh0yCLZUZ_hp6L0KQrunz671Ffwh7xMt1ubCOKmC92CJuZCiLFBJP25JV9cDUE_gBouw5yH_iUBEFQYFqcjZvBObBUNJ49JwIdBERsNrNwze-CtoDsRleQrLmo85qdSajFKtQISaMt_AI0BhLxfkjEmu2sL6GznVzBLDXc7S499fztentlDL-IikuUOhzAXjni08Dx6juSf2xaxHkxz3L9Q9D1oR36nldhMuF3mAoPlBVJGlWpn_VCvXtFfq0elStfNZyjhd3gk_oW4-LEwLOGbIQzQT7PQbxiHBJ7OOf4lSK-gKEYCuVVtJrXwwNUyQfvEd9perglpJzoFc64hjrWgOAS112fzPtFNQvADgVfjU0P0Wx9TFw9-FtjFpW4181iOW-7ytzgU-PtC9oxJTcab7hBiznDgo7pkdamjyHNtKOoG5VJufXc7DMiG7JVB1EmUmy8A3Gpnw1g6DTtO1cMBzrIrPzHzL-Xx9QzO22sQTkbGrkjMrZtLJX1GI0QhQa3kk3FqZUqqhbOO_ywax3qCM7I91Oe-gL_uyyQ7_q_DfhEYjwxuObUiPN9hbeCa90N3kdyXYyAqbuCsCWmhl38PskUXjNMdRGdi9Sx4spV6_uhRqHuZa4rOJ0-BAGl9pNdHlA-1uokjh705f3dFEua6PRaEDGa90fR-qxE-41TnInZSPTSBQMERQiv0ICGJA2ePrMAnb8j-qpax9kZE8cNCb8opOFUj0VWHtwpPcs3SFJzOBDLw95KArmsp-jAumYw5wLuxEjFyhL10P3BYWRK36nSaO6rvU5uDpbt9gbwTJe8_GhDadljBPsSi4IxLu0vzLY1CSN4hfqSbtXR3GIh3L_FOatvI7tIrwFiXxB0xqFbpRoxf0PYME2W1IBVEKynCjRMNmxlFMgS2RNkTypvnpfREArQZ6NqxlRG4jzFcioM1Pe9R3E_SOOXk9teYzzoC3Wkij3XU3Z3QMyx-uSuOwc48KYMpTNPg1YrQHT5es8iX0JWUPX3Nr3_Jrqzu05KfodWzF1SMv7pXQ=w120-h119
19,Fierce Deity Sword,40,https://lh3.googleusercontent.com/docs/ADP-6oGpHHEXEc8hBUVwQPf4AysDdObDJRiUDYOS49Fw481YiZcuXzLUtWYqkOHMHuJrixgSYPFV9knhVmPBCfoU7dHhJi8MEIWhQSNc-qwwr-fL4OAI8o733jrkNXggvUTPqXtgFtIJGIWLVzBn0seaiKT58QDD0A5W_ckzk1TAAXH-0ww6yX4VE_EoEAGThHQ7aZwIRWQK1FwseytcGxjXLcFfidVN-YkGosqzd29C-Zgix7OORj9s4LMzlIk8ZtG-u5LolMOhyIYENvs03tTmUF7yNz0P0bFO-rgXU8CFikpNp8jwI3_drepKpY41eFUNUggigdTWEkFCOp0Iv1GwQ2uL5JBKkdKyHlHAs-mfdvKtDbOp98XxdsB5f_AxwR28cKQGda4ZRGWy5xVxmqYIihHr0CUCOeTfvoxZCVDle_LwDaGbs_rfFjVCiCwsLWg9_Ma8kqY9k9KxtMG4kzJoy5ZZw4e80bt2lYpx2O3diXqLeQU_hKe7ynQWbEb1oqQCbV8rFTXk8iXeOdX7c3WfNz0horDXyzE3A0zkxbtTh4Z6g9a5Mj1ghLPchH7JoLwQeVgh_Nyd8f_KWYUqrz3h-zjY5VRO3SQ9T_7xMwRy6XX7V8fuHEnnLJ3JUZR9ZYYGFEJeIu1d7kKIEJ6v9Xn808lEpRuiIwXTPZbZxACxvhJ06aEEXDmw4T05VSyv4JZE_hYcdqXhUGrxnyQ9TB1nkDGo8au0u5pTRmEVe9_8fx9VsCr57thfNqheEEH80yXt0lxCnfIKIBDjvD0Eub0dTX5AmUfdKU5b6qZqZuRXeRTddqqeKdJOCj0CDJXUpUqLlxFFWTDYgO6N_nWHEjyZdQGQK3CDHv-W25YTv8siashSqfnqQqvVbangd7CqxBjZQXV8-y44Q8OO_CoaBoHL8h-VzgGHkUBmT61Vs9nm2oLVAmPf_WFVu-8wpa5nbSRR1jqP61nLSzsKyh5obnmyEhom7U2guWAIrPRfMlu95tDo0-cVEJGURVZaWp7yufBC-CtMChnYNmlBxf2vGtIoOun26VpETn15av5-fA6i4cPN5wwX-eDrjeIgnkDpLL0Ewfrfopyvo9U1Y-_wqM2Boo2GaMvaOuKMmCE8TSQAyGQvnuodxtvxHu2qO9BeDhI9BAXUH2dtsOeZdR4k6WYNdUUejn0Qs1VQ2aKBaZCOt5jkEvMG7d2vyp3voGSZD3ty-AuaF-gKmaLSS851hsfvrJV62-l7_fDkQg=w120-h119
20,Zonaite Longsword,9,https://lh3.googleusercontent.com/docs/ADP-6oEcK4aXlfR6PWFdQTfivbae-w716TGKF2W0-nVLSOQ1H2-87uPxVjNzNCwav75uuhet9IRUMD765XLbEWgyTALK-ki-FzTXWcgWOvoz1R_BqR6KSvy1aZxXUm0-Ukb5KfF2hR7A1BRzXdaSyoG41Ohw348n2EswrgWo3ppZJesi3vfrh8iePy7TvZvw9JYXGv2RmAmsub49p0NpcQ1XMq5NOVstT2E5lprR5YEFzP_2L9AUW5WzY_ZWOPuLqDx0d3mB6aHNzkPZR2bqOHHQQ-L5f-2w6srULOBnLBEwVRb-yQAmMvJ8irGC6FwZgs8PNNgAaYDcFoUYvvChk4eUIw8KrDLbeiWzAK7mPNrTLw0I1hHvIMoM6AWXhlb8YzFf5uOfO3eYmuEg4M6oRCqoHl6QlxIyKNMIVixHI1pBxZVLjyrKaM5eoN4ZrSzQvAWw6HUzFQylN3A8PgE_29XojBdIPh40HA6e8h_Ajbhe0ibINwblMV94EBYnAbZxxfeBdhQBDQ-vXRizjlcMXFAqvloAfBTtLrdn3wBK32o6Iq1V09ghc90MW27BXpWApNRuk7tqXvoKapTXPUcCvyTkRbUuEvWg2ssK3dKBDqIlcUegu_9DNL54oiTS6CjZBBgcYCNTTLZZq6GJ8TDPmyxUUn-K1pdy9q8M7IKWG7-nbCbwK-C6pXKbmVlPRsex6epjEg9u60Y2rCv2VroP_kD3so_YOjh9FCCzrtFgYnCaVRhGl42rm685Dhc5GJeHRTFqaAXnXZ4PB-usbyxq7eXF8-gTpMbQelkmc_vJ7LdYjDDu_TOJdQgigHGakdKThOZgO5bnQrG0APsKDubKlMKB6L9N7HqdfbohH3WqDRIkOd6q-kDK6XJEyftzkubIbdwbO0cg15SSYMeFf6V8c9MsdtzP82alqvlQejtn9tOwiFmCbfhozweE8iYd77N-NwL_-xIKsLWl6__cqE5GwVu9-bNddLcZFN9-RdkgyOPMyos2lqG6FFr8rOzTdZV_U2fdQZFGR0JHiHGtSUvTXpoeoXIWkvsgY3SO1qTFBs8YmTCahkkvBeEKn-xeZ-0a7EqCCQBr-xNlGyofqmx57nuMTBVBODowtNHdsmbjOyNRF9qrkGIgZWY64qlYd_EC30EBpR88nfhFL5saUtOVEqG79ha_klONmr7txgJSrshyoVXHeBUV_wQbkZrTlqR7lS22yhpNZlR83ctmUEAjEBZqadhrylyXurMvAg=w120-h119
21,Thick Stick,6,https://lh3.googleusercontent.com/docs/ADP-6oEH-phRc1qMDRuQjavxLTeyBwbxCIYtvrPsKfR5qfCInEvZZFYM7bp6dQKDsNdo7DUC0TwLjP7gYVpkHIVkvZl4YJ_QaXBe4VFD3GS6SWucYy7_f9fkO9h3s0kiUZdqRD30HudUHka6q2cmxOcttXHGC9HIF6hF8IkX9wDWY3u08aNBM7MPoX-8VDjuHRNKl4B4GVctSZN8S_XI1Z4O1dHM5HrOShnwmKodOVtza9Quqdscu0RmHiOc2TmySau93UkPaVxtdTCqIGlvsfPOoY1ByzmlOGFHooh3kpde-Wh7PcHcjUPec-7fe_TMHdpa2F2AJqIAZ_NwQdihuCsVmEAsJkuZWU29HHyOW-1UfFHjmL3UgR_a7SIYC_gh3lqGTyzre4461f1LgKNoiEQlG7Fj1B59os0pEog1_9-tdDHTYNqgoyjogOonWc46d7uZ7LhsQGLnwAIbU9jgacQzrcwUqb4pzMUmpbmv1zmmBDVxshUD-H_64qkDRljDTIT_87Z1qcmo6nfcYssPkD848z_P53VrOK6qz-8oPKNUmxYl41a46tPv3-OW-XVHwCIesYMQ03xFoPITDtQMPn5qUev5zdR6c7gdHdzTssbOAh7cC44B1UHrbqKwfdHx_7rboYXh5bHdH4gju7qWnMpUd5ASVhZw9QeteBfhsL1Res3gZ89j7JvCNVjwlhyHo2RJaVWTdbYHMMcyTVOwqDhjOuRexOtY97ia8bkLuOiPCH_y5uLGfwptipEkEApTmPr_QqFEVbEDKYF9twiPxd5tkEfbRl_o3B0k4vU4JQfsI7ItZW8QWVRM5g71sf69-hDzk03E9WR5dOHn_tXNWPWEMIcY8uDyyrF8pMnnLzzteHa7qRR5PVMmibGqdy1z0P-_eX4UXOjN4V_FVt97w8KNhcajeZvXDzHd4rxrCU2eYPUACm34G9IB8ZTxqvsFP-cOxyboolnDDrM05ZhzThdMiJhgz99fLtMx-UiTfk7YGhixRWazutY05KNtPinYk_vdrsTKPNjbqt_ZrlI2gmfp_FLpNhlGjcTdJqqK1f-n4lBxCir0qHw6PpX0IlkYUh2pMXU8VWgKo7gf0Dmi0jW39X7PC_TXZif4cVPtXkywrXgmJto6MTRrg099RXsoguJs99UuBb5mZ0xCQlETooTUwtTRjNMgUXUMA5eodyu31XiOirfYe3zzEMDq1t6puXMUS3bcpanJS1N3kkCy40fWNLiMXJ3ibdjV7g=w120-h119
22,Traveler's Claymore,7,https://lh3.googleusercontent.com/docs/ADP-6oHNowqQPf3Qi1fqp5_M6zoxyUYBq-vMIa8GrAPOOK7q9jldki6nBSV3ftzcL19WbevQdvQ9mpGU1rpFDArxZEMO1AsUVdDrDmfoPebfEnRdxTVF2aGfq7okhqJCneI6AmaW1Ko5pNA62OPQSVbmJyugSGgJtzbFHmIxCiaNgjcvIGLBVc78g9GOd9Ozs6dW40MwUP_nHbp7etofzbobp0l1qgmO7crR-_lDmmIyVPF_anrJdheif5RKooiErcwtXUejhSWAcoTO8p2mwiVfW1VqjX9oOWR2oia9VghJkFgIM8DtfEnHk6BJgx3bXs3GxVIFJfhWFYz_NDmctaIo_aGUEdSQ81MEjqYuEinff6maRtD9RnaG7kooqGq5H_Tdr5WK6-JyKOelrjnj4kXOoFWBQeHiNoXDL-4gWwzaX9lTJr8tonw5QSjr4i3jjOy6HzS9ehsJ-9fpJaq9BggjkTkmhQ2Lcc_K5Iy8MxM7ecrcCB6FkR7MxKe_jN6PtaAIQvDQ7edC85iCsytq5gS8om8iAWRtmZ5WkpQVYulDj4WY2rwbE-6NFtohfQgk916Lgt-3M5_yIx-lyg6HNzyzvVJSY1eSz1sMz9TeOIr1GOiaXqcXHJiqE96NTfBYrXQ5Sp9oeAF7ZhGi-ZDUNL8ITjJN6vUo6N0JDdEc3rF3SLMenmdICgK9qGPqT-LNbYE2GXYQC6d4A5Y-Cs8hLauGz_20yQncahSkKukBp0LKE6udo3fUOXK1aj6auyx2gAv46qfgLYXyxINbMoe2aXWSl96Pzn0GKBZXua1WwaTIdALUPUFkbhjXmSMofr3mu9aTT8QEkesHVEf4RpARn4Zi2aEK8coBszIZR9JilpFMO7W3kpu_1xPIcXkrP1avcp7f6CnqKdg3qMpHmUndzXkFK7fwwRdHGL7bBwZZNUSTnW1X3KtgATQ-6HpHBDiLSIqPSxsrBpl_vQ6vnBsSswYRAcKm_av9MRgqhwsH4sTv4gxORVXy55gTTOMyBDmtEojyMQBv45bdVEyuDKG7hxbdiZ_8sz9NMUaxz-VmYRxNAq-rqOP12Ia3q8nd7r_GB6LhFUYsBm4OSj1xivZv4utD1CXI99Sd_xdsbf9fMqkt_L6_99hvJm0UrYxHlIUh4IV9OFUC4seK094JD4v6ObX5Z-5u6ZnOBaym6dJbEpaXIs01ArBvuTiBqv24yldkyy0hUKNf4WKEq586pMJLgrrdXR6DD1FZkIyMLw=w120-h119
